Conversation_ID,Attacker_Helper,Victim,Conversation_Type
GT1sURbxgG_0,"['Hi, this is John from the IRS. You owe us $10,000 in back taxes.']","[""I'm sorry, I don't believe you. Can you provide me with your badge number?""]",1
GT1sURbxgG_1,"['Hi, this is John from the IRS. You owe us $10,000 in back taxes.', ""Yes, of course. It's 1234.""]","[""I'm sorry, I don't believe you. Can you provide me with your badge number?"", ""I'm still not sure. Can I call you back to verify this information?""]",1
GT1sURbxgG_2,"['Hi, this is John from the IRS. You owe us $10,000 in back taxes.', ""Yes, of course. It's 1234."", 'No, you cannot. We need payment immediately or we will send the police to your house.']","[""I'm sorry, I don't believe you. Can you provide me with your badge number?"", ""I'm still not sure. Can I call you back to verify this information?"", ""I don't think that's legal. I'll be contacting the IRS directly to confirm this.""]",1
TwaGOeC96w_0,"[""Hello, this is XYZ bank calling. May I speak with [Victim's name] please?""]","[""This is [Victim's name]. How can I help you?""]",0
TwaGOeC96w_1,"[""Hello, this is XYZ bank calling. May I speak with [Victim's name] please?"", ""Good morning [Victim's name], we just noticed some unusual activity on your account and want to verify a few things. Can you confirm your account number for me?""]","[""This is [Victim's name]. How can I help you?"", ""I'm sorry, I don't feel comfortable giving out my account number on the phone. Is there another way we can verify my information?""]",0
TwaGOeC96w_2,"[""Hello, this is XYZ bank calling. May I speak with [Victim's name] please?"", ""Good morning [Victim's name], we just noticed some unusual activity on your account and want to verify a few things. Can you confirm your account number for me?"", 'Absolutely, we completely understand your concerns. Can you please provide your date of birth and Social Security number for verification purposes?']","[""This is [Victim's name]. How can I help you?"", ""I'm sorry, I don't feel comfortable giving out my account number on the phone. Is there another way we can verify my information?"", ""I'm still hesitant to provide that information over the phone. Can I come into the bank and verify my information in person?""]",0
TwaGOeC96w_3,"[""Hello, this is XYZ bank calling. May I speak with [Victim's name] please?"", ""Good morning [Victim's name], we just noticed some unusual activity on your account and want to verify a few things. Can you confirm your account number for me?"", 'Absolutely, we completely understand your concerns. Can you please provide your date of birth and Social Security number for verification purposes?', ""Of course, that's a great idea. Our branch hours are 9am-5pm, Monday through Friday. Is there a day and time that works best for you?""]","[""This is [Victim's name]. How can I help you?"", ""I'm sorry, I don't feel comfortable giving out my account number on the phone. Is there another way we can verify my information?"", ""I'm still hesitant to provide that information over the phone. Can I come into the bank and verify my information in person?"", 'Yes, I can come in on Thursday at around 2pm. Thank you for understanding.']",0
V73ZDCviQL_0,"['Hello sir, this is a call from the IRS. We have found discrepancies in your tax filings and need to verify some information.']","[""I've never had any issues with my taxes before. Can you provide me with more specific information?""]",1
V73ZDCviQL_1,"['Hello sir, this is a call from the IRS. We have found discrepancies in your tax filings and need to verify some information.', 'Yes sir, we need your social security number and bank account details to verify the information.']","[""I've never had any issues with my taxes before. Can you provide me with more specific information?"", ""I'm sorry, but I don't feel comfortable sharing that information over the phone. Can you send me an email or mail me a letter instead?""]",1
V73ZDCviQL_2,"['Hello sir, this is a call from the IRS. We have found discrepancies in your tax filings and need to verify some information.', 'Yes sir, we need your social security number and bank account details to verify the information.', ""There's no need to worry sir. We are a legitimate organization and need this information to resolve the issue quickly.""]","[""I've never had any issues with my taxes before. Can you provide me with more specific information?"", ""I'm sorry, but I don't feel comfortable sharing that information over the phone. Can you send me an email or mail me a letter instead?"", 'I appreciate your concern, but I still cannot provide that information over the phone. Can you please provide me with a reference number for this issue so I can verify it with the IRS myself?']",1
V73ZDCviQL_3,"['Hello sir, this is a call from the IRS. We have found discrepancies in your tax filings and need to verify some information.', 'Yes sir, we need your social security number and bank account details to verify the information.', ""There's no need to worry sir. We are a legitimate organization and need this information to resolve the issue quickly."", 'I understand your concern sir, but we cannot provide reference numbers over the phone. Please provide us with the information so we can resolve this quickly.']","[""I've never had any issues with my taxes before. Can you provide me with more specific information?"", ""I'm sorry, but I don't feel comfortable sharing that information over the phone. Can you send me an email or mail me a letter instead?"", 'I appreciate your concern, but I still cannot provide that information over the phone. Can you please provide me with a reference number for this issue so I can verify it with the IRS myself?', ""I'm sorry, but I still cannot provide that information. I need to verify your legitimacy before sharing such sensitive information.""]",1
